日期,收盘,开盘,高,低,交易量,收盘,涨跌幅
2021年6月15日,258.36,259.71,259.98,257.68,18.04,430125632,-0.59
2021年6月14日,259.89,257.95,259.89,256.86,19.15,430125632,0.78
2021年6月11日,257.89,257.98,258.49,256.61,19.00,430125632,0.25
2021年6月10日,257.24,253.99,257.46,253.77,24.56,430125632,1.44
2021年6月9日,253.59,254.11,255.48,253.22,17.94,430125632,0.40
2021年6月8日,252.57,255.38,255.96,252.52,22.45,430125632,-0.49
2021年6月7日,253.81,249.86,254.06,249.86,23.08,430125632,1.20
2021年6月4日,250.79,247.76,251.65,247.51,25.28,430125632,2.07
2021年6月3日,245.71,245.24,246.31,243.02,25.31,430125632,-0.64
2021年6月2日,247.30,247.91,249.25,245.86,19.41,430125632,-0.04
2021年6月1日,247.40,251.23,251.29,246.96,22.55,430125632,-0.91
2021年5月28日,249.68,250.99,252.08,249.56,18.27,430125632,0.15
2021年5月27日,249.31,251.30,251.44,249.31,24.43,430125632,-0.87
2021年5月26日,251.49,251.61,252.90,250.76,17.77,430125632,-0.09
2021年5月25日,251.72,251.67,252.66,250.82,17.70,430125632,0.37
2021年5月24日,250.78,247.89,251.15,247.57,21.41,430125632,2.29
2021年5月21日,245.17,247.57,248.33,244.74,21.86,430125632,-0.53
2021年5月20日,246.48,244.02,247.94,244.02,21.80,430125632,1.38
2021年5月19日,243.12,239.26,243.19,238.90,25.74,430125632,0.02
2021年5月18日,243.08,246.32,246.33,242.95,20.17,430125632,-0.86
2021年5月17日,245.18,246.59,246.59,243.52,24.97,430125632,-1.20
2021年5月14日,248.15,245.57,249.18,245.49,23.90,430125632,2.11
2021年5月13日,243.03,241.80,245.55,241.49,29.62,430125632,1.69
2021年5月12日,239.00,242.65,244.36,238.16,36.68,430125632,-2.94
2021年5月11日,246.23,244.34,246.59,242.59,33.64,430125632,-0.38
2021年5月10日,247.18,251.25,251.71,247.18,29.30,430125632,-2.09
2021年5月7日,252.46,252.15,254.30,251.17,27.03,430125632,1.09
2021年5月6日,249.73,246.31,249.81,244.85,26.49,430125632,1.32
2021年5月5日,246.47,249.06,249.50,245.82,21.90,430125632,-0.53
2021年5月4日,247.79,250.97,251.21,245.76,32.76,430125632,-1.62
2021年5月3日,251.86,253.40,254.35,251.12,19.63,430125632,-0.13
2021年4月30日,252.18,249.74,253.08,249.60,30.95,430125632,-0.13
2021年4月29日,252.51,255.50,256.10,249.10,40.59,430125632,-0.81
2021年4月28日,254.56,256.14,256.42,253.00,46.90,430125632,-2.83
2021年4月27日,261.97,261.58,263.18,260.16,31.01,430125632,0.16
2021年4月26日,261.55,261.65,262.37,260.46,19.76,430125632,0.15
2021年4月23日,261.15,257.88,261.51,257.27,21.50,430125632,1.55
2021年4月22日,257.17,260.20,261.75,255.66,25.61,430125632,-1.31
2021年4月21日,260.58,258.97,260.65,257.30,24.03,430125632,0.90
2021年4月20日,258.26,257.92,260.17,256.87,19.72,430125632,-0.19
2021年4月19日,258.74,260.23,261.47,257.84,23.21,430125632,-0.77
2021年4月16日,260.74,259.47,261.00,257.60,24.88,430125632,0.48
2021年4月15日,259.50,257.77,259.92,257.77,25.63,430125632,1.53
2021年4月14日,255.59,257.29,258.76,255.19,23.07,430125632,-1.12
2021年4月13日,258.49,257.31,259.19,256.84,23.84,430125632,1.01
2021年4月12日,255.91,255.00,257.66,254.64,27.15,430125632,0.02
2021年4月9日,255.85,252.87,255.99,252.44,24.33,430125632,1.03
2021年4月8日,253.25,252.77,254.14,252.00,23.63,430125632,1.34
2021年4月7日,249.90,247.83,250.92,247.20,22.72,430125632,0.82
2021年4月6日,247.86,247.78,249.40,246.90,22.93,430125632,-0.49
2021年4月5日,249.07,242.90,249.95,242.76,36.91,430125632,2.77
2021年4月1日,242.35,238.47,242.84,238.05,30.34,430125632,2.79
2021年3月31日,235.77,232.70,239.00,232.49,43.62,430125632,1.69
2021年3月30日,231.85,233.58,233.73,231.12,24.79,430125632,-1.44
2021年3月29日,235.24,236.69,236.69,231.91,25.23,430125632,-0.52
2021年3月26日,236.48,231.55,236.71,231.55,25.48,430125632,1.78
2021年3月25日,232.34,235.34,236.90,231.60,34.06,430125632,-1.33
2021年3月24日,235.46,237.84,237.91,235.35,25.62,430125632,-0.89
2021年3月23日,237.58,237.49,241.03,237.09,31.64,430125632,0.67
2021年3月22日,235.99,231.00,236.88,231.00,30.13,430125632,2.45
2021年3月19日,230.35,231.02,232.47,229.35,46.43,430125632,-0.16
2021年3月18日,230.72,232.47,234.13,230.36,34.85,430125632,-2.67
2021年3月17日,237.04,236.25,238.52,233.25,29.56,430125632,-0.28
2021年3月16日,237.71,236.40,240.04,235.97,28.09,430125632,1.24
2021年3月15日,234.81,234.94,235.00,231.83,26.04,430125632,-0.40
2021年3月12日,235.75,234.17,235.75,233.24,22.65,430125632,-0.58
2021年3月11日,237.13,235.13,239.17,234.60,29.91,430125632,2.03
2021年3月10日,232.42,236.51,236.91,232.11,29.75,430125632,-0.58
2021年3月9日,233.78,232.86,235.37,231.83,33.08,430125632,2.81
2021年3月8日,227.39,231.20,233.35,227.22,35.27,430125632,-1.82
2021年3月5日,231.60,229.52,233.27,226.46,41.87,430125632,2.15
2021年3月4日,226.73,226.76,232.48,224.28,44.73,430125632,-0.36
2021年3月3日,227.56,232.14,233.45,227.32,34.03,430125632,-2.70
2021年3月2日,233.87,237.15,237.15,233.48,22.81,430125632,-1.30
2021年3月1日,236.94,235.56,237.44,233.17,25.33,430125632,1.96
2021年2月26日,232.38,231.52,235.37,229.54,37.82,430125632,1.48
2021年2月25日,228.99,232.24,234.55,227.91,39.54,430125632,-2.37
2021年2月24日,234.55,230.01,235.20,229.00,26.34,430125632,0.55
2021年2月23日,233.27,230.26,234.83,228.85,30.23,430125632,-0.53
2021年2月22日,234.51,237.01,237.91,232.42,36.45,430125632,-2.68
2021年2月19日,240.97,243.75,243.86,240.18,25.26,430125632,-1.16
2021年2月18日,243.79,241.75,243.90,240.88,16.93,430125632,-0.17
2021年2月17日,244.20,241.26,244.26,241.00,21.67,430125632,0.21
2021年2月16日,243.70,245.21,246.01,242.95,26.73,430125632,-0.53
2021年2月12日,244.99,243.93,245.30,242.73,16.56,430125632,0.20
2021年2月11日,244.49,244.62,245.15,242.19,15.75,430125632,0.69
2021年2月10日,242.82,244.86,245.90,240.91,22.19,430125632,-0.39
2021年2月9日,243.77,241.87,244.75,241.44,23.56,430125632,0.54
2021年2月8日,242.47,243.28,243.54,240.81,22.21,430125632,0.11
2021年2月5日,242.20,242.23,243.28,240.42,18.05,430125632,0.08
2021年2月4日,242.01,242.97,243.15,240.37,25.30,430125632,-0.41
2021年2月3日,243.00,239.70,245.07,239.29,27.16,430125632,1.46
